pricebandupper,symbol,applicableMargin,bcEndDate,totalSellQuantity,adhocMargin,companyName,marketType,exDate,bcStartDate,css_status_desc,dayHigh,basePrice,securityVar,pricebandlower,sellQuantity5,sellQuantity4,sellQuantity3,cm_adj_high_dt,sellQuantity2,dayLow,sellQuantity1,quantityTraded,pChange,totalTradedValue,deliveryToTradedQuantity,totalBuyQuantity,averagePrice,indexVar,cm_ffm,purpose,buyPrice2,secDate,buyPrice1,high52,previousClose,ndEndDate,low52,buyPrice4,buyPrice3,recordDate,deliveryQuantity,buyPrice5,priceBand,extremeLossMargin,cm_adj_low_dt,varMargin,sellPrice1,sellPrice2,totalTradedVolume,sellPrice3,sellPrice4,sellPrice5,change,surv_indicator,ndStartDate,buyQuantity4,isExDateFlag,buyQuantity3,buyQuantity2,buyQuantity1,series,faceValue,buyQuantity5,closePrice,open,isinCode,lastPrice,curtime
326.05,SBIN,12.5,28-JUN-18,2233307.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.71,266.85,8402.0,18606.0,6803.0,26-OCT-17,21413.0,290.1,8884.0,18001336.0,-1.67,39427.92,23.57,1420953.0,292.08,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,291.45,6SEP2018,291.5,351.3,296.45,,232.35,291.35,291.4,,4243474.0,291.3,No Band,5.0,23-MAR-18,7.5,291.55,291.6,13499013.0,291.65,291.7,291.75,-4.95,,,2091.0,False,193.0,200.0,657.0,EQ,1.0,5913.0,0.0,295.9,INE062A01020,291.5,Fri Sep  7 13:21:22 2018
326.05,SBIN,12.5,28-JUN-18,2233307.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.71,266.85,8402.0,18606.0,6803.0,26-OCT-17,21413.0,290.1,8884.0,18001336.0,-1.67,39427.92,23.57,1420953.0,292.08,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,291.45,6SEP2018,291.5,351.3,296.45,,232.35,291.35,291.4,,4243474.0,291.3,No Band,5.0,23-MAR-18,7.5,291.55,291.6,13499013.0,291.65,291.7,291.75,-4.95,,,2091.0,False,193.0,200.0,657.0,EQ,1.0,5913.0,0.0,295.9,INE062A01020,291.5,Fri Sep  7 13:22:22 2018
326.05,SBIN,12.5,28-JUN-18,2217377.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.71,266.85,13145.0,9001.0,1843.0,26-OCT-17,752.0,290.1,53.0,18001336.0,-1.69,39560.0,23.57,1441729.0,292.07,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,291.45,6SEP2018,291.5,351.3,296.45,,232.35,291.35,291.4,,4243474.0,291.3,No Band,5.0,23-MAR-18,7.5,291.55,291.6,13544698.0,291.65,291.7,291.75,-5.00,,,5786.0,False,17778.0,2458.0,171.0,EQ,1.0,21090.0,0.0,295.9,INE062A01020,291.45,Fri Sep  7 13:23:22 2018
326.05,SBIN,12.5,28-JUN-18,2231243.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.71,266.85,9368.0,4462.0,552.0,26-OCT-17,266.0,290.1,633.0,18001336.0,-1.70,39580.12,23.57,1450353.0,292.07,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,291.35,6SEP2018,291.4,351.3,296.45,,232.35,291.25,291.3,,4243474.0,291.2,No Band,5.0,23-MAR-18,7.5,291.45,291.5,13551587.0,291.55,291.6,291.65,-5.05,,,24468.0,False,15533.0,5779.0,3223.0,EQ,1.0,30377.0,0.0,295.9,INE062A01020,291.4,Fri Sep  7 13:24:22 2018
326.05,SBIN,12.5,28-JUN-18,2239456.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.71,266.85,6949.0,18028.0,236.0,26-OCT-17,5900.0,290.1,2185.0,18001336.0,-1.69,39691.1,23.57,1450562.0,292.07,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,291.35,6SEP2018,291.4,351.3,296.45,,232.35,291.25,291.3,,4243474.0,291.2,No Band,5.0,23-MAR-18,7.5,291.45,291.5,13589584.0,291.55,291.6,291.65,-5.00,,,13080.0,False,8913.0,5743.0,966.0,EQ,1.0,18052.0,0.0,295.9,INE062A01020,291.45,Fri Sep  7 13:25:22 2018
326.05,SBIN,12.5,28-JUN-18,2239456.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.71,266.85,6949.0,18028.0,236.0,26-OCT-17,5900.0,290.1,2185.0,18001336.0,-1.69,39691.1,23.57,1450562.0,292.07,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,291.35,6SEP2018,291.4,351.3,296.45,,232.35,291.25,291.3,,4243474.0,291.2,No Band,5.0,23-MAR-18,7.5,291.45,291.5,13589584.0,291.55,291.6,291.65,-5.00,,,13080.0,False,8913.0,5743.0,966.0,EQ,1.0,18052.0,0.0,295.9,INE062A01020,291.45,Fri Sep  7 13:26:22 2018
326.05,SBIN,12.5,28-JUN-18,2227552.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.71,266.85,6439.0,1194.0,594.0,26-OCT-17,902.0,290.1,102.0,18001336.0,-1.75,39771.52,23.57,1459905.0,292.07,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,291.15,6SEP2018,291.2,351.3,296.45,,232.35,291.05,291.1,,4243474.0,291.0,No Band,5.0,23-MAR-18,7.5,291.25,291.3,13617118.0,291.35,291.4,291.45,-5.20,,,15572.0,False,32004.0,5518.0,3825.0,EQ,1.0,53352.0,0.0,295.9,INE062A01020,291.25,Fri Sep  7 13:27:22 2018
326.05,SBIN,12.5,28-JUN-18,2243318.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.71,266.85,14111.0,8659.0,2486.0,26-OCT-17,1900.0,290.1,3855.0,18001336.0,-1.86,39927.53,23.57,1405625.0,292.07,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,290.8,6SEP2018,290.85,351.3,296.45,,232.35,290.7,290.75,,4243474.0,290.65,No Band,5.0,23-MAR-18,7.5,290.95,291.0,13670533.0,291.05,291.1,291.15,-5.50,,,16530.0,False,8682.0,8915.0,2791.0,EQ,1.0,15154.0,0.0,295.9,INE062A01020,290.95,Fri Sep  7 13:28:23 2018
326.05,SBIN,12.5,28-JUN-18,2243733.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.71,266.85,9024.0,7356.0,14974.0,26-OCT-17,2385.0,290.1,2462.0,18001336.0,-1.87,40135.62,23.57,1437333.0,292.06,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,290.8,6SEP2018,290.85,351.3,296.45,,232.35,290.7,290.75,,4243474.0,290.65,No Band,5.0,23-MAR-18,7.5,290.9,290.95,13742250.0,291.0,291.05,291.1,-5.55,,,17098.0,False,11712.0,24005.0,1500.0,EQ,1.0,9744.0,0.0,295.9,INE062A01020,290.9,Fri Sep  7 13:29:22 2018
326.05,SBIN,12.5,28-JUN-18,2256122.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.71,266.85,11430.0,8524.0,1949.0,26-OCT-17,335.0,290.1,2066.0,18001336.0,-1.92,40334.93,23.57,1399151.0,292.05,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,290.7,6SEP2018,290.75,351.3,296.45,,232.35,290.6,290.65,,4243474.0,290.55,No Band,5.0,23-MAR-18,7.5,290.8,290.85,13810967.0,290.9,290.95,291.0,-5.70,,,12023.0,False,20989.0,5625.0,3957.0,EQ,1.0,6910.0,0.0,295.9,INE062A01020,290.75,Fri Sep  7 13:30:22 2018
